class,type,subject,language,source,material_name,gdrive_file_id

1,Book,English,English,NCERT,Raindrops,1oeutp5CMzEOxJcUw3aN4Pr3j75jiAIWL
1,Book,English,English,NCERT,Marigold,1XthnoDAG4pA4-kzpWOyeHKBnvcasUqML
1,Book,Maths,English,NCERT,Math Magic,1EFQGCcNJeCHCOhM44iQcJEjZXEryJcca
1,Book,Maths,Hindi,NCERT,Ganit ka Jaadu,1r14CU9awF2xVf94ZtOxmTWhSOqhYu_8X
1,Book,Maths,Urdu,NCERT,Riyazi ka Jadoo,1SDCXJDEa83fspYI2Cjp8jbMhLn1OnqCL
1,Book,Hindi,Hindi,NCERT,Rimjhim,1b2ESWdZEAbVHF1-F5__ZqYKlwJFssie-
1,Book,Urdu,Urdu,NCERT,Ibtedai Urdu,1l332fany-uORCQuGpUCoYEc3abs4_h81

2,Book,English,English,NCERT,Raindrops,1Q7NOLPCWozzJDXp9gtIPG1LOMrXzM2L3
2,Book,English,English,NCERT,Marigold,1A5pwcac-rfoveBtWxTCS9_KsxHS1vQSL
2,Book,Hindi,Hindi,NCERT,Rimjhim,1zhkahiaaEDBqef48GmamWE7c3vT6ce38
2,Book,Maths,Hindi,NCERT,Ganit ka Jaadu,1P6DmywtJBGN1-p6GCifYK25-AXKW8wz4
2,Book,Maths,English,NCERT,Math Magic,18IRM1GgX18lrwBrTdq_gLQO-ZHgjndJ9
2,Book,Maths,Urdu,NCERT,Riyazi ka Jadoo,13X3Bpz-7-MNAG4D7siFeEj5SXA8m4no0
2,Book,Urdu,Urdu,NCERT,Ibtedai Urdu,1PZ5JSJOfdyl8LTK3p7ESGoanbZ8eqgSj

3,Book,English,English,NCERT,Marigold,1j7U5E4P6jl5-nVB0ixEvzqDfOETeFlHO
3,Book,Hindi,Hindi,NCERT,Rimjhim,17bjS-cEnctAOr960Ift0_bpB2xemA7Qt
3,Book,Maths,Hindi,NCERT,Ganit ka Jaadu,1GHcRrtjwISXQSr42MR1lJ7Ppfwja0UA-
3,Book,Maths,English,NCERT,Math Magic,1_K08o6BJbBtks63Q9cAP3Ez69tsFrSh2
3,Book,Maths,Urdu,NCERT,Riyazi ka Jadoo,1unyvtmYLkw7xO3srJfc9qN23z1qNXRqj
3,Book,Environmental Studies,Hindi,NCERT,Aas Paas,1tuPctRGSdMqP54gYEG1rj05ln0unG25m
3,Book,Environmental Studies,Urdu,NCERT,Aas Paas (Urdu),1DxDKJUIqmE9URp7_r87bIH5AcVuS1dm0
3,Book,Environmental Studies,English,NCERT,Looking Around,1xqMJE6sQLQNzec61xSWzatNVdemWmton
3,Book,Urdu,Urdu,NCERT,Ibtedai Urdu,1W_GAhPPrL14Nubm8-kShyJAXHiUboCW0

4,Book,English,English,NCERT,Marigold,1bSKHO_5kEjULyaN-SMaWJeOr89VxNSMm
4,Book,Hindi,Hindi,NCERT,Rimjhim,1cumPmvsFGs0DPOjrMj79b6TYXlEZl9wE
4,Book,Maths,Hindi,NCERT,Ganit ka Jaadu,12i0odfIW20OSFLc_LuOfmma135Y2MY57
4,Book,Maths,English,NCERT,Math Magic,1Pq64napVsSiO8U1AIk4IfvLUq6kutIpJ
4,Book,Maths,Urdu,NCERT,Riyazi ka Jadoo,1x4e86EJm63kg9HzPWpu76GnDq9xFSn-D
4,Book,Environmental Studies,Hindi,NCERT,Aas Paas,1sQQpaRVMBzVwz3uB17JwsK56XuuUy7wQ
4,Book,Environmental Studies,English,NCERT,Looking Around,1Xi7iVpn7pt_WFyaBOYH0C_DqhZuq1ghZ
4,Book,Environmental Studies,Urdu,NCERT,Aas Paas (Urdu),1INxUGZe0Uym3Puph3RmMTbfZPi4afrQA
4,Book,Urdu,Urdu,NCERT,Ibtedai Urdu,1-la7FJEpIVtFsNAdqkM5IPRDWWVj4jyH

